Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
bash-2.05	0.99	0.98	0.026	0.028	0.072	0.051	0.055	0.134	0.051	0.055	0.134
flex-2.5.4	0.586	0.548	0.159	0.135	0.08	0.25	0.219	0.141	0.246	0.216	0.139
grep-2.4.2	0.285	0.243	0.428	0.649	0.37	0.342	0.396	0.322	0.31	0.354	0.293
gzip-1.3	1	0.581	0.843	0.807	0.481	0.914	0.893	0.649	0.688	0.676	0.526
make-3.79	0.577	0.892	0.105	0.113	0.001	0.177	0.19	0.003	0.188	0.202	0.003
sed-4.1.5	0.195	0.177	0.216	0.216	0.149	0.205	0.205	0.169	0.195	0.195	0.162
space	0.147	0.147	0.338	0.329	-0.106	0.205	0.203	-0.762	0.205	0.203	-0.762
vim-5.8	1	0.998	0	0.01	0.041	0	0.02	0.08	0	0.02	0.08
avg	0.597	0.57	0.264	0.285	0.136	0.268	0.272	0.092	0.235	0.24	0.071

Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
printtokens2	0.522	0.522	0.225	0.148	-0.028	0.315	0.23	-0.06	0.315	0.23	-0.06
printtokens	0.505	0.505	0.386	0.233	0.008	0.437	0.319	0.016	0.437	0.319	0.016
replace	0.648	0.648	0.447	0.309	0.018	0.529	0.419	0.036	0.529	0.419	0.036
schedule2	0.678	0.678	0.352	0.226	0	0.464	0.339	0	0.464	0.339	0
schedule	0.874	0.874	0.246	0.134	0.019	0.384	0.232	0.038	0.384	0.232	0.038
tcas	0.814	0.814	0.703	0.357	0	0.754	0.496	0	0.754	0.496	0
totinfo	0.169	0.169	0.354	0.247	-0.032	0.229	0.201	-0.081	0.229	0.201	-0.081
avg	0.601	0.601	0.388	0.236	-0.002	0.445	0.319	-0.007	0.445	0.319	-0.007


