Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
bzip2-1.0.5	0.537	0.525	0.279	0.263	0.15	0.367	0.353	0.235	0.364	0.351	0.234
chown-8.2	0.646	0.557	0.878	0.822	0.532	0.744	0.723	0.584	0.681	0.664	0.544
date-8.21	0.587	0.515	0.805	0.722	0.372	0.679	0.647	0.456	0.628	0.601	0.432
grep-2.19	0.635	0.56	0.539	0.498	0.261	0.583	0.558	0.37	0.549	0.527	0.356
gzip-1.2.4	0.36	0.312	0.64	0.59	0.22	0.461	0.447	0.273	0.42	0.408	0.258
mkdir-5.2.1	0.642	0.502	0.906	0.811	0.487	0.752	0.717	0.554	0.646	0.62	0.495
rm-8.4	0.827	0.637	0.821	0.736	0.318	0.824	0.779	0.46	0.717	0.683	0.424
sort-8.16	0.397	0.181	0.871	0.82	0.485	0.545	0.535	0.437	0.301	0.297	0.264
tar-1.14	0.634	0.338	0.54	0.517	0.34	0.583	0.569	0.443	0.416	0.409	0.339
uniq-8.16	0.297	0.251	0.866	0.759	0.45	0.442	0.427	0.358	0.389	0.377	0.322
avg	0.556	0.437	0.714	0.653	0.361	0.598	0.575	0.417	0.511	0.493	0.366
