p0.1train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.126	0.968	0.224	0.868	0.221
grep-2.4.2	0.386	0.896	0.539	0.796	0.52
gzip-1.3	0.806	1	0.893	0.739	0.771
sed-4.1.5	0.148	0.721	0.245	0.69	0.244
space	0.084	0.994	0.155	0.994	0.155
avg	0.31	0.915	0.411	0.817	0.382
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.008	0.968	0.016	0.868	0.016
grep-2.4.2	0.2	0.896	0.328	0.796	0.32
gzip-1.3	0.495	1	0.662	0.739	0.593
sed-4.1.5	0.011	0.721	0.021	0.69	0.021
space	0.089	0.994	0.164	0.994	0.164
avg	0.16	0.915	0.238	0.817	0.222
					
Program	MRed	RGen	MF		
flex-2.5.4	0.126	0.512	0.202		
grep-2.4.2	0.386	0.367	0.376		
gzip-1.3	0.806	0.724	0.763		
sed-4.1.5	0.148	0.002	0.004		
space	0.084	0.988	0.155		
avg	0.31	0.52	0.3		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.008	0.512	0.016		
grep-2.4.2	0.2	0.367	0.259		
gzip-1.3	0.495	0.724	0.588		
sed-4.1.5	0.011	0.002	0.003		
space	0.089	0.988	0.163		
avg	0.16	0.52	0.21


p0.2train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.12	0.982	0.214	0.902	0.212
grep-2.4.2	0.367	0.915	0.524	0.852	0.513
gzip-1.3	0.124	0.812	0.216	0.947	0.22
sed-4.1.5	0.134	0.971	0.235	0.939	0.234
space	0.051	1	0.098	1	0.098
avg	0.159	0.936	0.257	0.928	0.255
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	-0.036	0.982	-0.076	0.902	-0.076
grep-2.4.2	0.17	0.915	0.287	0.852	0.284
gzip-1.3	-0.016	0.812	-0.033	0.947	-0.032
sed-4.1.5	0.017	0.971	0.034	0.939	0.034
space	0.054	1	0.102	1	0.102
avg	0.037	0.936	0.062	0.928	0.062
					
Program	MRed	RGen	MF		
flex-2.5.4	0.12	0.512	0.194		
grep-2.4.2	0.367	0.372	0.369		
gzip-1.3	0.124	0.724	0.212		
sed-4.1.5	0.134	0.986	0.236		
space	0.051	0.988	0.097		
avg	0.16	0.72	0.22		
					
Program	ARed	RGen	AF		
flex-2.5.4	-0.036	0.512	-0.077		
grep-2.4.2	0.17	0.372	0.233		
gzip-1.3	-0.016	0.724	-0.033		
sed-4.1.5	0.017	0.986	0.033		
space	0.054	0.988	0.102		
avg	0.04	0.72	0.05


p0.3train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.117	0.988	0.209	0.925	0.208
grep-2.4.2	0.359	0.939	0.519	0.867	0.508
gzip-1.3	0.32	0.586	0.414	0.92	0.475
sed-4.1.5	0.126	0.983	0.224	0.945	0.223
space	0.043	1	0.083	1	0.083
avg	0.193	0.899	0.289	0.931	0.299
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.013	0.988	0.026	0.925	0.026
grep-2.4.2	0.11	0.939	0.197	0.867	0.195
gzip-1.3	0.142	0.586	0.229	0.92	0.246
sed-4.1.5	0.01	0.983	0.02	0.945	0.02
space	0.125	1	0.222	1	0.222
avg	0.08	0.899	0.138	0.931	0.141
					
Program	MRed	RGen	MF		
flex-2.5.4	0.117	0.945	0.208		
grep-2.4.2	0.359	0.393	0.375		
gzip-1.3	0.32	0.724	0.444		
sed-4.1.5	0.126	0.993	0.224		
space	0.043	0.988	0.082		
avg	0.19	0.81	0.27		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.013	0.945	0.026		
grep-2.4.2	0.11	0.393	0.172		
gzip-1.3	0.142	0.724	0.237		
sed-4.1.5	0.01	0.993	0.02		
space	0.125	0.988	0.222		
avg	0.08	0.81	0.14		
