Program	Rgen	Sred	Mred	Ared	SF	MF	AF
bzip2-1.0.5	1	0.279	0.263	0.15	0.436	0.416	0.261
chown-8.2	0.975	0.878	0.822	0.532	0.924	0.892	0.688
date-8.21	0.683	0.805	0.722	0.372	0.739	0.702	0.482
grep-2.19	0.135	0.539	0.498	0.261	0.216	0.212	0.178
gzip-1.2.4	0.817	0.64	0.59	0.22	0.718	0.685	0.347
mkdir-5.2.1	0.89	0.906	0.811	0.487	0.898	0.849	0.63
rm-8.4	1	0.821	0.736	0.318	0.902	0.848	0.483
sort-8.16	0	0.871	0.82	0.485	0	0	0
tar-1.14	0.998	0.54	0.517	0.34	0.701	0.681	0.507
uniq-8.16	0.999	0.866	0.759	0.45	0.928	0.863	0.62
flex-2.5.4	0.202	0.159	0.135	0.08	0.178	0.162	0.115
grep-2.4.2	0.685	0.428	0.649	0.37	0.527	0.667	0.48
gzip-1.3	0.724	0.843	0.807	0.481	0.779	0.763	0.578
sed-4.1.5	0.003	0.216	0.216	0.149	0.006	0.006	0.006
space	0.059	0.338	0.329	-0.106	0.1	0.1	0.266
avg	0.611	0.609	0.578	0.306	0.61	0.594	0.408

PROGRAM	Rgen	Sred	Mred	Ared	SF	MF	AF
printtokens2	0.991	0.225	0.148	-0.028	0.367	0.258	-0.058
printtokens	0.977	0.386	0.233	0.008	0.553	0.376	0.016
replace	0.866	0.447	0.309	0.018	0.59	0.455	0.035
schedule2	0.794	0.352	0.226	0	0.488	0.352	0
schedule	0.849	0.246	0.134	0.019	0.381	0.231	0.037
tcas	0.996	0.703	0.357	0	0.824	0.526	0
totinfo	0.899	0.354	0.247	-0.032	0.508	0.388	-0.066
avg	0.91	0.388	0.236	-0.002	0.544	0.375	-0.004
