Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
bash-2.05	0.683	0.567	0.699	0.391	0.158	0.691	0.497	0.257	0.626	0.463	0.247
flex-2.5.4	0.782	0.725	0.45	0.32	0.176	0.571	0.454	0.288	0.556	0.444	0.284
grep-2.4.2	0.377	0.319	0.667	0.636	0.268	0.482	0.474	0.313	0.431	0.425	0.291
gzip-1.3	1	0.536	0.739	0.696	0.318	0.85	0.82	0.483	0.622	0.606	0.4
make-3.79	0.511	0.545	0.604	0.547	0.297	0.553	0.528	0.376	0.573	0.546	0.385
sed-4.1.5	0.211	0.197	0.71	0.668	0.345	0.325	0.32	0.262	0.308	0.304	0.251
space	0.172	0.172	0.452	0.379	0.056	0.25	0.237	0.084	0.25	0.237	0.084
vim-5.8	0.322	0.292	0.877	0.817	0.546	0.471	0.462	0.405	0.438	0.43	0.38
avg	0.507	0.419	0.649	0.556	0.27	0.524	0.474	0.308	0.475	0.431	0.29

Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
printtokens2	0.61	0.61	0.067	0.051	0.085	0.121	0.095	0.15	0.121	0.095	0.15
printtokens	0.512	0.512	0.252	0.157	-0.145	0.338	0.24	-0.405	0.338	0.24	-0.405
replace	0.764	0.764	0.149	0.11	-0.082	0.249	0.193	-0.184	0.249	0.193	-0.184
schedule2	0.935	0.935	0.134	0.066	0.058	0.235	0.124	0.109	0.235	0.124	0.109
schedule	0.886	0.886	0.09	0.053	-0.176	0.163	0.1	-0.44	0.163	0.1	-0.44
tcas	0.877	0.877	0.16	0.112	0.086	0.271	0.2	0.158	0.271	0.2	0.158
totinfo	0.59	0.59	0.109	0.08	-0.065	0.184	0.141	-0.148	0.184	0.141	-0.148
avg	0.739	0.739	0.137	0.09	-0.034	0.223	0.156	-0.109	0.223	0.156	-0.109

