Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
bzip2-1.0.5	0.267	0.156	0.536	0.5	0.267	0.357	0.349	0.267	0.242	0.239	0.197
chown-8.2	0.783	0.675	0.78	0.673	0.307	0.781	0.723	0.441	0.724	0.674	0.422
date-8.21	0.575	0.522	0.799	0.699	0.38	0.669	0.631	0.458	0.631	0.597	0.44
grep-2.19	0.41	0.294	0.687	0.608	0.338	0.513	0.49	0.37	0.411	0.396	0.314
gzip-1.2.4	0.512	0.386	0.598	0.56	0.271	0.552	0.535	0.355	0.469	0.457	0.319
mkdir-5.2.1	0.764	0.622	0.814	0.651	0.235	0.788	0.703	0.36	0.705	0.636	0.341
rm-8.4	0.86	0.686	0.764	0.653	0.195	0.809	0.742	0.318	0.723	0.669	0.304
sort-8.16	0.506	0.275	0.828	0.739	0.443	0.628	0.601	0.473	0.413	0.401	0.339
tar-1.14	0.619	0.336	0.871	0.79	0.497	0.724	0.694	0.551	0.485	0.472	0.401
uniq-8.16	0.424	0.36	0.812	0.663	0.373	0.557	0.517	0.397	0.499	0.467	0.366
avg	0.572	0.431	0.748	0.653	0.33	0.637	0.598	0.399	0.53	0.5	0.344
