p0.1train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.298	0.936	0.452	0.89	0.446
grep-2.4.2	0.56	0.818	0.665	0.767	0.647
gzip-1.3	0.664	1	0.798	0.739	0.7
sed-4.1.5	0.616	0.737	0.671	0.708	0.659
space	0.094	0.996	0.172	0.996	0.172
avg	0.446	0.897	0.551	0.82	0.524
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.142	0.936	0.247	0.89	0.245
grep-2.4.2	0.185	0.818	0.302	0.767	0.299
gzip-1.3	0.279	1	0.436	0.739	0.405
sed-4.1.5	0.349	0.737	0.474	0.708	0.468
space	-0.043	0.996	-0.091	0.996	-0.091
avg	0.182	0.897	0.273	0.82	0.265
					
Program	MRed	RGen	MF		
flex-2.5.4	0.298	0.011	0.021		
grep-2.4.2	0.56	0.248	0.344		
gzip-1.3	0.664	0.998	0.797		
sed-4.1.5	0.616	0.013	0.025		
space	0.094	0.988	0.172		
avg	0.45	0.45	0.27		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.142	0.011	0.02		
grep-2.4.2	0.185	0.248	0.212		
gzip-1.3	0.279	0.998	0.436		
sed-4.1.5	0.349	0.013	0.025		
space	-0.043	0.988	-0.09		
avg	0.18	0.45	0.12

p0.2train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.279	0.961	0.432	0.899	0.426
grep-2.4.2	0.541	0.875	0.669	0.854	0.662
gzip-1.3	0.523	0.625	0.569	0.847	0.647
sed-4.1.5	0.552	0.841	0.667	0.824	0.661
space	0.089	0.999	0.163	0.999	0.163
avg	0.396	0.86	0.5	0.884	0.511
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.172	0.961	0.292	0.899	0.289
grep-2.4.2	0.202	0.875	0.328	0.854	0.327
gzip-1.3	0.192	0.625	0.294	0.847	0.314
sed-4.1.5	0.24	0.841	0.374	0.824	0.372
space	-0.006	0.999	-0.012	0.999	-0.012
avg	0.16	0.86	0.255	0.884	0.258
					
Program	MRed	RGen	MF		
flex-2.5.4	0.279	0.011	0.021		
grep-2.4.2	0.541	0.26	0.351		
gzip-1.3	0.523	0.998	0.686		
sed-4.1.5	0.552	0.013	0.025		
space	0.089	0.988	0.163		
avg	0.4	0.45	0.25		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.172	0.011	0.021		
grep-2.4.2	0.202	0.26	0.227		
gzip-1.3	0.192	0.998	0.322		
sed-4.1.5	0.24	0.013	0.025		
space	-0.006	0.988	-0.012		
avg	0.16	0.45	0.12

p0.3train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.254	0.974	0.403	0.906	0.397
grep-2.4.2	0.518	0.903	0.658	0.867	0.649
gzip-1.3	0.502	0.551	0.525	0.853	0.632
sed-4.1.5	0.547	0.923	0.687	0.899	0.68
space	0.088	0.999	0.162	0.999	0.162
avg	0.381	0.87	0.487	0.904	0.504
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.163	0.974	0.279	0.906	0.276
grep-2.4.2	0.118	0.903	0.209	0.867	0.208
gzip-1.3	0.171	0.551	0.261	0.853	0.285
sed-4.1.5	0.217	0.923	0.352	0.899	0.35
space	-0.004	0.999	-0.008	0.999	-0.008
avg	0.133	0.87	0.218	0.904	0.222
					
Program	MRed	RGen	MF		
flex-2.5.4	0.254	0.011	0.021		
grep-2.4.2	0.518	0.285	0.368		
gzip-1.3	0.502	0.998	0.668		
sed-4.1.5	0.547	0.988	0.704		
space	0.088	0.988	0.162		
avg	0.38	0.65	0.38		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.163	0.011	0.021		
grep-2.4.2	0.118	0.285	0.167		
gzip-1.3	0.171	0.998	0.292		
sed-4.1.5	0.217	0.988	0.356		
space	-0.004	0.988	-0.008		
avg	0.13	0.65	0.17		
