Program	Rgen	Sred	Mred	Ared	SF	MF	AF
bzip2-1.0.5	1	0.536	0.5	0.267	0.698	0.667	0.421
chown-8.2	0.97	0.78	0.673	0.307	0.865	0.795	0.466
date-8.21	0.695	0.799	0.699	0.38	0.743	0.697	0.491
grep-2.19	0.268	0.687	0.608	0.338	0.386	0.372	0.299
gzip-1.2.4	0.73	0.598	0.56	0.271	0.657	0.634	0.395
mkdir-5.2.1	1	0.814	0.651	0.235	0.897	0.789	0.381
rm-8.4	0.875	0.764	0.653	0.195	0.816	0.748	0.319
sort-8.16	1	0.828	0.739	0.443	0.906	0.85	0.614
tar-1.14	0.046	0.871	0.79	0.497	0.087	0.087	0.084
uniq-8.16	0.627	0.812	0.663	0.373	0.708	0.644	0.468
flex-2.5.4	0.011	0.45	0.32	0.176	0.021	0.021	0.021
grep-2.4.2	0.2	0.667	0.636	0.268	0.308	0.304	0.229
gzip-1.3	0.998	0.739	0.696	0.318	0.849	0.82	0.482
sed-4.1.5	0	0.71	0.668	0.345	0	0	0
space	0.059	0.452	0.379	0.056	0.104	0.102	0.057
avg	0.565	0.7	0.616	0.298	0.625	0.589	0.39

PROGRAM	Rgen	Sred	Mred	Ared	SF	MF	AF
printtokens2	0.957	0.067	0.051	0.085	0.125	0.097	0.156
printtokens	0.964	0.252	0.157	-0.145	0.4	0.27	-0.341
replace	0.978	0.149	0.11	-0.082	0.259	0.198	-0.179
schedule2	0.723	0.134	0.066	0.058	0.226	0.121	0.107
schedule	0.849	0.09	0.053	-0.176	0.163	0.1	-0.444
tcas	0.989	0.16	0.112	0.086	0.275	0.201	0.158
totinfo	0.9	0.109	0.08	-0.065	0.194	0.147	-0.14
avg	0.91	0.137	0.09	-0.034	0.238	0.164	-0.071
