Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF	Threshold
bash-2.05	0.779	0.622	0.672	0.377	0.158	0.722	0.508	0.263	0.646	0.47	0.252	3
flex-2.5.4	0.782	0.731	0.446	0.313	0.15	0.568	0.447	0.252	0.554	0.439	0.25	1
grep-2.4.2	0.927	0.766	0.362	0.353	0.127	0.521	0.512	0.224	0.492	0.483	0.219	25
gzip-1.3	1	0.778	0.658	0.616	0.1	0.794	0.762	0.183	0.713	0.688	0.178	10
make-3.79	0.511	0.54	0.6	0.544	0.306	0.552	0.527	0.383	0.569	0.542	0.391	1
sed-4.1.5	0.62	0.572	0.472	0.45	0.166	0.536	0.521	0.262	0.517	0.503	0.257	25
space	0.332	0.332	0.289	0.221	-0.004	0.309	0.266	-0.008	0.309	0.266	-0.008	40
vim-5.8	0.566	0.483	0.806	0.754	0.414	0.665	0.647	0.478	0.605	0.589	0.446	4
avg	0.69	0.603	0.538	0.454	0.177	0.583	0.524	0.255	0.551	0.498	0.248	13.625

Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF	Threshold
printtokens2	0.61	0.61	0.067	0.051	0.085	0.121	0.095	0.15	0.121	0.095	0.15	1
printtokens	0.512	0.512	0.252	0.157	-0.145	0.338	0.24	-0.405	0.338	0.24	-0.405	1
replace	0.764	0.764	0.149	0.11	-0.082	0.249	0.193	-0.184	0.249	0.193	-0.184	1
schedule2	0.935	0.935	0.134	0.066	0.058	0.235	0.124	0.109	0.235	0.124	0.109	1
schedule	0.886	0.886	0.09	0.053	-0.176	0.163	0.1	-0.44	0.163	0.1	-0.44	1
tcas	0.877	0.877	0.16	0.112	0.086	0.271	0.2	0.158	0.271	0.2	0.158	1
totinfo	0.59	0.59	0.109	0.08	-0.065	0.184	0.141	-0.148	0.184	0.141	-0.148	1
avg	0.739	0.739	0.137	0.09	-0.034	0.223	0.156	-0.109	0.223	0.156	-0.109	1
