Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF	Threshold
bzip2-1.0.5	0.572	0.426	0.382	0.37	0.166	0.458	0.45	0.258	0.403	0.396	0.24	20
chown-8.2	0.835	0.728	0.765	0.661	0.316	0.798	0.738	0.458	0.746	0.693	0.441	1
date-8.21	0.571	0.519	0.799	0.699	0.38	0.666	0.629	0.457	0.629	0.596	0.439	1
grep-2.19	0.753	0.605	0.457	0.413	0.184	0.569	0.533	0.296	0.52	0.491	0.282	40
gzip-1.2.4	0.523	0.476	0.552	0.518	0.23	0.537	0.52	0.319	0.511	0.496	0.31	3
mkdir-5.2.1	0.772	0.666	0.785	0.625	0.209	0.779	0.691	0.329	0.721	0.645	0.318	3
rm-8.4	0.865	0.717	0.736	0.627	0.213	0.795	0.727	0.342	0.727	0.669	0.328	1
sort-8.16	0.883	0.703	0.645	0.575	0.24	0.746	0.696	0.377	0.673	0.632	0.358	35
tar-1.14	0.745	0.459	0.767	0.707	0.423	0.756	0.726	0.54	0.575	0.557	0.44	2
uniq-8.16	0.856	0.792	0.636	0.52	0.312	0.73	0.647	0.458	0.705	0.628	0.448	35
avg	0.738	0.609	0.652	0.572	0.267	0.683	0.636	0.383	0.621	0.58	0.36	14.1


