p0.1train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.297	0.936	0.452	0.89	0.446
grep-2.4.2	0.433	0.868	0.578	0.807	0.564
gzip-1.3	0.642	1	0.782	0.828	0.723
sed-4.1.5	0.582	0.787	0.669	0.756	0.658
space	0.094	0.996	0.171	0.996	0.171
avg	0.41	0.917	0.53	0.855	0.512
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.129	0.936	0.226	0.89	0.225
grep-2.4.2	0.193	0.868	0.317	0.807	0.312
gzip-1.3	0.187	1	0.315	0.828	0.305
sed-4.1.5	0.297	0.787	0.431	0.756	0.426
space	-0.014	0.996	-0.029	0.996	-0.029
avg	0.158	0.917	0.252	0.855	0.248
					
Program	MRed	RGen	MF		
flex-2.5.4	0.297	0.011	0.021		
grep-2.4.2	0.433	0.306	0.359		
gzip-1.3	0.642	0.998	0.781		
sed-4.1.5	0.582	0.029	0.055		
space	0.094	0.988	0.172		
avg	0.41	0.47	0.28		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.129	0.011	0.02		
grep-2.4.2	0.193	0.306	0.237		
gzip-1.3	0.187	0.998	0.315		
sed-4.1.5	0.297	0.029	0.053		
space	-0.014	0.988	-0.028		
avg	0.16	0.47	0.12

p0.2train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.279	0.961	0.432	0.899	0.426
grep-2.4.2	0.423	0.909	0.578	0.885	0.573
gzip-1.3	0.523	0.625	0.569	0.847	0.647
sed-4.1.5	0.521	0.862	0.65	0.844	0.644
space	0.089	0.999	0.163	0.999	0.163
avg	0.367	0.871	0.478	0.895	0.491
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.172	0.961	0.292	0.899	0.289
grep-2.4.2	0.193	0.909	0.319	0.885	0.318
gzip-1.3	0.192	0.625	0.294	0.847	0.314
sed-4.1.5	0.189	0.862	0.31	0.844	0.309
space	-0.006	0.999	-0.012	0.999	-0.012
avg	0.148	0.871	0.241	0.895	0.244
					
Program	MRed	RGen	MF		
flex-2.5.4	0.279	0.011	0.021		
grep-2.4.2	0.423	0.306	0.355		
gzip-1.3	0.523	0.998	0.686		
sed-4.1.5	0.521	0.029	0.055		
space	0.089	0.988	0.163		
avg	0.37	0.47	0.26		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.172	0.011	0.021		
grep-2.4.2	0.193	0.306	0.237		
gzip-1.3	0.192	0.998	0.322		
sed-4.1.5	0.189	0.029	0.05		
space	-0.006	0.988	-0.012		
avg	0.15	0.47	0.12

p0.3train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.254	0.974	0.403	0.906	0.396
grep-2.4.2	0.518	0.903	0.658	0.867	0.649
gzip-1.3	0.502	0.551	0.525	0.853	0.632
sed-4.1.5	0.517	0.927	0.664	0.903	0.658
space	0.088	0.999	0.162	0.999	0.162
avg	0.376	0.871	0.482	0.906	0.499
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.142	0.974	0.248	0.906	0.246
grep-2.4.2	0.118	0.903	0.209	0.867	0.208
gzip-1.3	0.171	0.551	0.261	0.853	0.285
sed-4.1.5	0.215	0.927	0.349	0.903	0.348
space	-0.004	0.999	-0.008	0.999	-0.008
avg	0.128	0.871	0.212	0.906	0.216
					
Program	MRed	RGen	MF		
flex-2.5.4	0.254	0.011	0.021		
grep-2.4.2	0.518	0.285	0.368		
gzip-1.3	0.502	0.998	0.668		
sed-4.1.5	0.517	0.965	0.673		
space	0.088	0.988	0.162		
avg	0.38	0.65	0.38		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.142	0.011	0.02		
grep-2.4.2	0.118	0.285	0.167		
gzip-1.3	0.171	0.998	0.292		
sed-4.1.5	0.215	0.965	0.352		
space	-0.004	0.988	-0.008		
avg	0.13	0.65	0.16		
