Program	Rgen	Sred	Mred	Ared	SF	MF	AF
bzip2-1.0.5	1	0.382	0.37	0.166	0.553	0.54	0.285
chown-8.2	0.959	0.765	0.661	0.316	0.851	0.783	0.475
date-8.21	0.695	0.799	0.699	0.38	0.743	0.697	0.491
grep-2.19	0.965	0.457	0.413	0.184	0.62	0.578	0.309
gzip-1.2.4	0.73	0.552	0.518	0.23	0.629	0.606	0.35
mkdir-5.2.1	1	0.785	0.625	0.209	0.88	0.769	0.346
rm-8.4	0.875	0.736	0.627	0.213	0.8	0.731	0.343
sort-8.16	1	0.645	0.575	0.24	0.784	0.73	0.387
tar-1.14	0.029	0.767	0.707	0.423	0.056	0.056	0.054
uniq-8.16	1	0.636	0.52	0.312	0.778	0.684	0.476
flex-2.5.4	0.011	0.446	0.313	0.15	0.021	0.021	0.02
grep-2.4.2	0.308	0.362	0.353	0.127	0.333	0.329	0.18
gzip-1.3	0.999	0.658	0.616	0.1	0.793	0.762	0.182
sed-4.1.5	0.957	0.472	0.45	0.166	0.632	0.612	0.283
space	0.059	0.289	0.221	-0.004	0.098	0.093	-0.009
avg	0.706	0.583	0.511	0.214	0.639	0.593	0.328

PROGRAM	Rgen	Sred	Mred	Ared	SF	MF	AF
printtokens2	0.957	0.067	0.051	0.085	0.125	0.097	0.156
printtokens	0.963	0.252	0.157	-0.145	0.399	0.27	-0.341
replace	0.977	0.149	0.11	-0.082	0.259	0.198	-0.179
schedule2	0.726	0.134	0.066	0.058	0.226	0.121	0.107
schedule	0.848	0.09	0.053	-0.176	0.163	0.1	-0.444
tcas	0.989	0.16	0.112	0.086	0.275	0.201	0.158
totinfo	0.898	0.109	0.08	-0.065	0.194	0.147	-0.14
avg	0.91	0.137	0.09	-0.034	0.238	0.164	-0.071
