Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
bash-2.05	0.704	0.574	0.688	0.384	0.184	0.696	0.497	0.292	0.626	0.46	0.279
flex-2.5.4	0.869	0.751	0.432	0.308	0.13	0.577	0.455	0.226	0.548	0.437	0.222
grep-2.4.2	0.491	0.407	0.616	0.593	0.222	0.547	0.538	0.306	0.49	0.483	0.287
gzip-1.3	1	0.536	0.739	0.696	0.318	0.85	0.82	0.483	0.622	0.606	0.4
make-3.79	0.525	0.547	0.597	0.538	0.3	0.559	0.532	0.382	0.571	0.543	0.388
sed-4.1.5	0.211	0.197	0.703	0.658	0.322	0.324	0.319	0.255	0.308	0.303	0.244
space	0.177	0.177	0.451	0.378	0.002	0.254	0.241	0.004	0.254	0.241	0.004
vim-5.8	0.322	0.292	0.877	0.817	0.546	0.471	0.462	0.405	0.438	0.43	0.38
avg	0.537	0.435	0.637	0.546	0.253	0.534	0.483	0.294	0.482	0.437	0.275

Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
printtokens2	0.679	0.679	0.064	0.051	0.085	0.117	0.096	0.152	0.117	0.096	0.152
printtokens	0.517	0.517	0.239	0.155	-0.213	0.327	0.239	-0.728	0.327	0.239	-0.728
replace	0.822	0.822	0.144	0.107	-0.113	0.245	0.189	-0.264	0.245	0.189	-0.264
schedule2	0.955	0.955	0.117	0.056	0.009	0.209	0.105	0.019	0.209	0.105	0.019
schedule	0.889	0.889	0.075	0.05	-0.137	0.139	0.095	-0.324	0.139	0.095	-0.324
tcas	0.877	0.877	0.16	0.112	0.086	0.271	0.2	0.158	0.271	0.2	0.158
totinfo	0.722	0.722	0.098	0.069	-0.032	0.172	0.126	-0.069	0.172	0.126	-0.069
avg	0.78	0.78	0.128	0.086	-0.045	0.211	0.15	-0.151	0.211	0.15	-0.151
