Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
bzip2-1.0.5	0.267	0.156	0.536	0.5	0.267	0.357	0.349	0.267	0.242	0.239	0.197
chown-8.2	0.833	0.696	0.751	0.649	0.305	0.79	0.73	0.447	0.722	0.672	0.424
date-8.21	0.585	0.525	0.694	0.61	0.287	0.635	0.598	0.385	0.598	0.565	0.371
grep-2.19	0.57	0.398	0.64	0.568	0.315	0.603	0.569	0.406	0.491	0.468	0.352
gzip-1.2.4	0.515	0.389	0.586	0.545	0.245	0.548	0.529	0.332	0.468	0.454	0.301
mkdir-5.2.1	0.771	0.629	0.782	0.622	0.222	0.777	0.689	0.345	0.697	0.626	0.328
rm-8.4	0.863	0.684	0.643	0.578	0.211	0.737	0.692	0.339	0.663	0.627	0.322
sort-8.16	0.511	0.277	0.827	0.737	0.437	0.632	0.604	0.471	0.415	0.403	0.339
tar-1.14	0.644	0.359	0.839	0.762	0.464	0.729	0.698	0.54	0.503	0.488	0.405
uniq-8.16	0.628	0.516	0.804	0.656	0.368	0.705	0.642	0.464	0.629	0.578	0.43
avg	0.618	0.462	0.71	0.622	0.312	0.651	0.61	0.399	0.542	0.512	0.346

