p0.1train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.288	0.941	0.442	0.887	0.435
grep-2.4.2	0.513	0.9	0.653	0.833	0.635
gzip-1.3	0.664	1	0.798	0.739	0.7
sed-4.1.5	0.607	0.75	0.671	0.717	0.658
space	0.094	0.996	0.172	0.996	0.172
avg	0.433	0.917	0.547	0.834	0.52
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.13	0.941	0.229	0.887	0.227
grep-2.4.2	0.169	0.9	0.284	0.833	0.281
gzip-1.3	0.279	1	0.436	0.739	0.405
sed-4.1.5	0.35	0.75	0.477	0.717	0.47
space	-0.043	0.996	-0.091	0.996	-0.091
avg	0.177	0.917	0.267	0.834	0.258
					
Program	MRed	RGen	MF		
flex-2.5.4	0.288	0.945	0.441		
grep-2.4.2	0.513	0.98	0.673		
gzip-1.3	0.664	0.998	0.797		
sed-4.1.5	0.607	0.998	0.755		
space	0.094	0.988	0.172		
avg	0.43	0.98	0.57		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.13	0.945	0.229		
grep-2.4.2	0.169	0.98	0.288		
gzip-1.3	0.279	0.998	0.436		
sed-4.1.5	0.35	0.998	0.518		
space	-0.043	0.988	-0.09		
avg	0.18	0.98	0.28

p0.2train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.271	0.958	0.422	0.893	0.416
grep-2.4.2	0.289	0.987	0.447	0.97	0.445
gzip-1.3	0.516	0.625	0.565	0.847	0.641
sed-4.1.5	0.542	0.869	0.667	0.851	0.662
space	0.089	0.999	0.163	0.999	0.163
avg	0.341	0.887	0.452	0.912	0.465
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.169	0.958	0.288	0.893	0.285
grep-2.4.2	0.075	0.987	0.14	0.97	0.14
gzip-1.3	0.149	0.625	0.241	0.847	0.254
sed-4.1.5	0.224	0.869	0.357	0.851	0.355
space	-0.006	0.999	-0.012	0.999	-0.012
avg	0.122	0.887	0.202	0.912	0.204
					
Program	MRed	RGen	MF		
flex-2.5.4	0.271	0.945	0.421		
grep-2.4.2	0.289	0.988	0.447		
gzip-1.3	0.516	0.998	0.68		
sed-4.1.5	0.542	0.999	0.703		
space	0.089	0.988	0.163		
avg	0.34	0.98	0.48		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.169	0.945	0.287		
grep-2.4.2	0.075	0.988	0.139		
gzip-1.3	0.149	0.998	0.259		
sed-4.1.5	0.224	0.999	0.366		
space	-0.006	0.988	-0.012		
avg	0.12	0.98	0.21

p0.3train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.246	0.969	0.392	0.901	0.386
grep-2.4.2	0.489	0.939	0.643	0.915	0.637
gzip-1.3	0.486	0.586	0.531	0.86	0.621
sed-4.1.5	0.537	0.939	0.683	0.915	0.677
space	0.088	0.999	0.162	0.999	0.162
avg	0.369	0.886	0.482	0.918	0.496
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.142	0.969	0.248	0.901	0.246
grep-2.4.2	0.171	0.939	0.29	0.915	0.289
gzip-1.3	0.108	0.586	0.182	0.86	0.192
sed-4.1.5	0.219	0.939	0.355	0.915	0.353
space	-0.004	0.999	-0.008	0.999	-0.008
avg	0.127	0.886	0.213	0.918	0.214
					
Program	MRed	RGen	MF		
flex-2.5.4	0.246	0.945	0.39		
grep-2.4.2	0.489	0.986	0.654		
gzip-1.3	0.486	0.999	0.654		
sed-4.1.5	0.537	0.994	0.697		
space	0.088	0.988	0.162		
avg	0.37	0.98	0.51		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.142	0.945	0.247		
grep-2.4.2	0.171	0.986	0.291		
gzip-1.3	0.108	0.999	0.195		
sed-4.1.5	0.219	0.994	0.359		
space	-0.004	0.988	-0.008		
avg	0.13	0.98	0.22		
