Program	Rgen	Sred	Mred	Ared	SF	MF	AF
bzip2-1.0.5	1	0.536	0.5	0.267	0.698	0.667	0.421
chown-8.2	0.994	0.751	0.649	0.305	0.856	0.785	0.467
date-8.21	0.988	0.694	0.61	0.287	0.815	0.754	0.445
grep-2.19	0.953	0.64	0.568	0.315	0.766	0.712	0.473
gzip-1.2.4	0.949	0.586	0.545	0.245	0.725	0.692	0.389
mkdir-5.2.1	1	0.782	0.622	0.222	0.878	0.767	0.363
rm-8.4	1	0.643	0.578	0.211	0.783	0.733	0.348
sort-8.16	1	0.827	0.737	0.437	0.905	0.849	0.608
tar-1.14	0.97	0.839	0.762	0.464	0.9	0.854	0.628
uniq-8.16	1	0.804	0.656	0.368	0.891	0.792	0.538
flex-2.5.4	0.944	0.432	0.308	0.13	0.593	0.464	0.229
grep-2.4.2	0.918	0.616	0.593	0.222	0.737	0.721	0.358
gzip-1.3	0.998	0.739	0.696	0.318	0.849	0.82	0.482
sed-4.1.5	0.988	0.703	0.658	0.322	0.821	0.79	0.486
space	0.988	0.451	0.378	0.002	0.619	0.547	0.004
avg	0.979	0.67	0.591	0.274	0.796	0.737	0.428

PROGRAM	Rgen	Sred	Mred	Ared	SF	MF	AF
printtokens2	0.991	0.064	0.051	0.085	0.12	0.097	0.157
printtokens	0.983	0.239	0.155	-0.213	0.385	0.268	-0.544
replace	1	0.144	0.107	-0.113	0.252	0.193	-0.255
schedule2	0.824	0.117	0.056	0.009	0.205	0.105	0.018
schedule	0.921	0.075	0.05	-0.137	0.139	0.095	-0.322
tcas	0.996	0.16	0.112	0.086	0.276	0.201	0.158
totinfo	1	0.098	0.069	-0.032	0.179	0.129	-0.066
avg	0.96	0.128	0.086	-0.045	0.226	0.158	-0.094
