Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
bash-2.05	0.636	0.53	0.706	0.396	0.184	0.669	0.489	0.285	0.606	0.454	0.273
flex-2.5.4	0.782	0.725	0.45	0.32	0.176	0.572	0.454	0.288	0.556	0.444	0.284
grep-2.4.2	0.316	0.268	0.673	0.643	0.339	0.43	0.424	0.327	0.384	0.379	0.3
gzip-1.3	1	0.536	0.743	0.699	0.365	0.852	0.822	0.535	0.623	0.607	0.435
make-3.79	0.518	0.545	0.613	0.555	0.341	0.561	0.536	0.411	0.577	0.55	0.419
sed-4.1.5	0.201	0.188	0.713	0.671	0.389	0.314	0.31	0.265	0.298	0.294	0.254
space	0.172	0.172	0.452	0.379	0.056	0.25	0.237	0.084	0.25	0.237	0.084
vim-5.8	0.322	0.292	0.878	0.818	0.578	0.471	0.462	0.413	0.438	0.43	0.388
avg	0.493	0.407	0.653	0.56	0.303	0.514	0.466	0.326	0.466	0.424	0.304

Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
printtokens2	0.61	0.61	0.067	0.051	0.085	0.121	0.095	0.15	0.121	0.095	0.15
printtokens	0.507	0.507	0.267	0.168	-0.128	0.35	0.253	-0.342	0.35	0.253	-0.342
replace	0.648	0.648	0.194	0.133	-0.025	0.299	0.22	-0.052	0.299	0.22	-0.052
schedule2	0.778	0.778	0.277	0.133	0.126	0.408	0.227	0.217	0.408	0.227	0.217
schedule	0.875	0.875	0.161	0.076	-0.137	0.272	0.14	-0.325	0.272	0.14	-0.325
tcas	0.814	0.814	0.703	0.327	0.163	0.754	0.467	0.271	0.754	0.467	0.271
totinfo	0.571	0.571	0.173	0.113	-0.109	0.266	0.189	-0.272	0.266	0.189	-0.272
avg	0.686	0.686	0.263	0.143	-0.004	0.353	0.227	-0.05	0.353	0.227	-0.05

