Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF
bzip2-1.0.5	0.245	0.147	0.564	0.593	0.377	0.342	0.347	0.297	0.233	0.236	0.212
chown-8.2	0.631	0.55	0.816	0.714	0.439	0.712	0.67	0.518	0.657	0.621	0.488
date-8.21	0.569	0.515	0.808	0.712	0.424	0.667	0.632	0.485	0.629	0.598	0.465
grep-2.19	0.42	0.303	0.688	0.611	0.353	0.522	0.498	0.384	0.421	0.405	0.326
gzip-1.2.4	0.51	0.385	0.604	0.565	0.293	0.553	0.536	0.372	0.47	0.458	0.333
mkdir-5.2.1	0.717	0.589	0.836	0.675	0.298	0.772	0.695	0.421	0.691	0.629	0.396
rm-8.4	0.822	0.65	0.775	0.664	0.3	0.798	0.735	0.44	0.707	0.657	0.411
sort-8.16	0.503	0.272	0.834	0.746	0.489	0.627	0.601	0.496	0.411	0.399	0.35
tar-1.14	0.607	0.329	0.873	0.792	0.521	0.716	0.687	0.561	0.478	0.465	0.403
uniq-8.16	0.4	0.336	0.825	0.675	0.421	0.539	0.502	0.41	0.477	0.448	0.374
avg	0.542	0.407	0.762	0.674	0.391	0.624	0.59	0.438	0.517	0.491	0.375
