p0.1train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.298	0.936	0.452	0.89	0.446
grep-2.4.2	0.561	0.818	0.665	0.767	0.648
gzip-1.3	0.664	1	0.798	0.739	0.7
sed-4.1.5	0.618	0.727	0.668	0.699	0.656
space	0.094	0.996	0.172	0.996	0.172
avg	0.447	0.895	0.551	0.818	0.524
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.142	0.936	0.247	0.89	0.245
grep-2.4.2	0.198	0.818	0.318	0.767	0.314
gzip-1.3	0.279	1	0.436	0.739	0.405
sed-4.1.5	0.359	0.727	0.481	0.699	0.475
space	-0.043	0.996	-0.091	0.996	-0.091
avg	0.187	0.895	0.278	0.818	0.269
					
Program	MRed	RGen	MF		
flex-2.5.4	0.298	0.011	0.021		
grep-2.4.2	0.561	0.248	0.344		
gzip-1.3	0.664	0.998	0.797		
sed-4.1.5	0.618	0.013	0.025		
space	0.094	0.988	0.172		
avg	0.45	0.45	0.27		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.142	0.011	0.02		
grep-2.4.2	0.198	0.248	0.22		
gzip-1.3	0.279	0.998	0.436		
sed-4.1.5	0.359	0.013	0.025		
space	-0.043	0.988	-0.09		
avg	0.19	0.45	0.12

p0.2train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.28	0.961	0.433	0.897	0.426
grep-2.4.2	0.541	0.875	0.669	0.855	0.663
gzip-1.3	0.523	0.625	0.569	0.847	0.647
sed-4.1.5	0.552	0.841	0.667	0.824	0.661
space	0.09	0.995	0.165	0.995	0.165
avg	0.397	0.859	0.5	0.883	0.512
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.214	0.961	0.35	0.897	0.346
grep-2.4.2	0.202	0.875	0.328	0.855	0.327
gzip-1.3	0.192	0.625	0.294	0.847	0.314
sed-4.1.5	0.24	0.841	0.374	0.824	0.372
space	0.06	0.995	0.113	0.995	0.113
avg	0.181	0.859	0.291	0.883	0.294
					
Program	MRed	RGen	MF		
flex-2.5.4	0.28	0.011	0.021		
grep-2.4.2	0.541	0.26	0.351		
gzip-1.3	0.523	0.998	0.686		
sed-4.1.5	0.552	0.013	0.025		
space	0.09	0.988	0.165		
avg	0.4	0.45	0.25		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.214	0.011	0.021		
grep-2.4.2	0.202	0.26	0.227		
gzip-1.3	0.192	0.998	0.322		
sed-4.1.5	0.24	0.013	0.025		
space	0.06	0.988	0.113		
avg	0.18	0.45	0.14

p0.3train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.254	0.974	0.403	0.906	0.397
grep-2.4.2	0.518	0.903	0.659	0.867	0.649
gzip-1.3	0.503	0.551	0.526	0.853	0.633
sed-4.1.5	0.548	0.923	0.688	0.899	0.681
space	0.088	0.981	0.163	0.981	0.163
avg	0.382	0.866	0.487	0.901	0.504
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.163	0.974	0.279	0.906	0.276
grep-2.4.2	0.145	0.903	0.251	0.867	0.249
gzip-1.3	0.194	0.551	0.287	0.853	0.316
sed-4.1.5	0.238	0.923	0.379	0.899	0.377
space	0.06	0.981	0.113	0.981	0.113
avg	0.16	0.866	0.261	0.901	0.266
					
Program	MRed	RGen	MF		
flex-2.5.4	0.254	0.011	0.021		
grep-2.4.2	0.518	0.285	0.368		
gzip-1.3	0.503	0.998	0.669		
sed-4.1.5	0.548	0.988	0.705		
space	0.088	0.988	0.162		
avg	0.38	0.65	0.39		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.163	0.011	0.021		
grep-2.4.2	0.145	0.285	0.192		
gzip-1.3	0.194	0.998	0.325		
sed-4.1.5	0.238	0.988	0.384		
space	0.06	0.988	0.113		
avg	0.16	0.65	0.21		
