Program	Rgen	Sred	Mred	Ared	SF	MF	AF
bzip2-1.0.5	1	0.564	0.593	0.377	0.721	0.745	0.548
chown-8.2	0.97	0.816	0.714	0.439	0.886	0.823	0.604
date-8.21	0.696	0.808	0.712	0.424	0.748	0.704	0.527
grep-2.19	0.25	0.688	0.611	0.353	0.367	0.355	0.293
gzip-1.2.4	0.73	0.604	0.565	0.293	0.661	0.637	0.418
mkdir-5.2.1	1	0.836	0.675	0.298	0.911	0.806	0.459
rm-8.4	0.875	0.775	0.664	0.3	0.822	0.755	0.447
sort-8.16	1	0.834	0.746	0.489	0.909	0.855	0.657
tar-1.14	0.046	0.873	0.792	0.521	0.087	0.087	0.085
uniq-8.16	0.7	0.825	0.675	0.421	0.757	0.687	0.526
flex-2.5.4	0.011	0.45	0.32	0.176	0.021	0.021	0.021
grep-2.4.2	0.2	0.673	0.643	0.339	0.308	0.305	0.252
gzip-1.3	0.998	0.743	0.699	0.365	0.852	0.822	0.535
sed-4.1.5	0.468	0.713	0.671	0.389	0.565	0.551	0.425
space	0.059	0.452	0.379	0.056	0.104	0.102	0.057
avg	0.6	0.71	0.631	0.349	0.65	0.615	0.441

PROGRAM	Rgen	Sred	Mred	Ared	SF	MF	AF
printtokens2	0.957	0.067	0.051	0.085	0.125	0.097	0.156
printtokens	0.964	0.267	0.168	-0.128	0.418	0.286	-0.295
replace	0.976	0.194	0.133	-0.025	0.324	0.234	-0.051
schedule2	0.74	0.277	0.133	0.126	0.403	0.225	0.215
schedule	0.849	0.161	0.076	-0.137	0.271	0.14	-0.327
tcas	0.997	0.703	0.327	0.163	0.825	0.492	0.28
totinfo	0.9	0.173	0.113	-0.109	0.29	0.201	-0.248
avg	0.91	0.263	0.143	-0.004	0.408	0.247	-0.008
