Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF	Threshold
flex-2.5.4	0.782	0.724	-	0.691	0.455	-	0.734	0.575	-	0.707	0.558	1
grep-2.4.2	0.503	0.427	-	0.61	0.382	-	0.551	0.434	-	0.502	0.403	2
gzip-1.3	1	0.793	-	0.742	0.466	-	0.852	0.636	-	0.766	0.587	2
sed-4.1.5	1	0.994	-	0.27	0.165	-	0.425	0.283	-	0.425	0.283	3
space	0.71	0.71	-	0.31	0.144	-	0.431	0.24	-	0.431	0.24	3
avg	0.799	0.73	-	0.525	0.322	-	0.599	0.434	-	0.566	0.414	2.2

Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF	Threshold
printtokens2	0.999	0.999	-	0.446	0.046	-	0.617	0.088	-	0.617	0.088	3
printtokens	1	1	-	0.404	0.065	-	0.575	0.122	-	0.575	0.122	3
replace	0.853	0.853	-	0.441	0.032	-	0.582	0.062	-	0.582	0.062	2
schedule2	0.96	0.96	-	0.509	0.191	-	0.665	0.319	-	0.665	0.319	2
schedule	1	1	-	0.493	0.102	-	0.66	0.185	-	0.66	0.185	3
tcas	0.979	0.979	-	0.572	0.17	-	0.722	0.29	-	0.722	0.29	2
totinfo	1	1	-	0.413	0.02	-	0.585	0.04	-	0.585	0.04	3
avg	0.97	0.97	-	0.468	0.089	-	0.629	0.158	-	0.629	0.158	2.5


