Program	RelCGen	AllCGen	Sred	Mred	Ared	RelSF	RelMF	RelAF	AllSF	AllMF	AllAF	Threshold
bzip2-1.0.5	0.831	0.599	-	0.473	0.271	-	0.603	0.409	-	0.528	0.374	2
chown-8.2	0.62	0.5	-	0.753	0.574	-	0.68	0.596	-	0.6	0.534	2
date-8.21	0.622	0.525	-	0.717	0.488	-	0.666	0.547	-	0.606	0.506	2
grep-2.19	0.694	0.487	-	0.469	0.426	-	0.559	0.528	-	0.478	0.455	4
gzip-1.2.4	0.735	0.599	-	0.574	0.394	-	0.645	0.513	-	0.586	0.475	2
mkdir-5.2.1	0.738	0.601	-	0.795	0.489	-	0.765	0.588	-	0.685	0.539	1
rm-8.4	0.684	0.564	-	0.755	0.504	-	0.718	0.58	-	0.646	0.532	2
sort-8.16	0.659	0.368	-	0.824	0.615	-	0.732	0.636	-	0.509	0.461	2
tar-1.14	0.642	0.363	-	0.844	0.7	-	0.73	0.67	-	0.508	0.478	2
uniq-8.16	0.684	0.584	-	0.829	0.669	-	0.75	0.677	-	0.685	0.623	2
avg	0.691	0.519	-	0.703	0.513	-	0.685	0.574	-	0.583	0.498	2.1

