p0.1train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.671	0.936	0.782	0.89	0.765
grep-2.4.2	0.637	0.78	0.701	0.703	0.668
gzip-1.3	0.713	1	0.832	0.838	0.77
sed-4.1.5	0.617	0.778	0.688	0.768	0.685
space	0.306	0.993	0.468	0.993	0.468
avg	0.59	0.9	0.69	0.84	0.67
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.476	0.936	0.631	0.89	0.62
grep-2.4.2	0.361	0.78	0.493	0.703	0.477
gzip-1.3	0.451	1	0.621	0.838	0.586
sed-4.1.5	0.436	0.778	0.559	0.768	0.557
space	0.247	0.993	0.396	0.993	0.396
avg	0.39	0.9	0.54	0.84	0.53
					
Program	MRed	RGen	MF		
flex-2.5.4	0.671	0.011	0.022		
grep-2.4.2	0.637	0.184	0.286		
gzip-1.3	0.713	0.982	0.826		
sed-4.1.5	0.617	0.002	0.004		
space	0.306	0.988	0.467		
avg	0.59	0.43	0.32		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.476	0.011	0.022		
grep-2.4.2	0.361	0.184	0.244		
gzip-1.3	0.451	0.982	0.618		
sed-4.1.5	0.436	0.002	0.004		
space	0.247	0.988	0.395		
avg	0.39	0.43	0.26

p0.2train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.657	0.958	0.78	0.897	0.759
grep-2.4.2	0.622	0.851	0.719	0.82	0.707
gzip-1.3	0.623	0.625	0.624	0.865	0.724
sed-4.1.5	0.626	0.82	0.71	0.804	0.703
space	0.302	0.999	0.464	0.999	0.464
avg	0.566	0.85	0.659	0.877	0.671
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.436	0.958	0.599	0.897	0.587
grep-2.4.2	0.319	0.851	0.464	0.82	0.459
gzip-1.3	0.322	0.625	0.425	0.865	0.469
sed-4.1.5	0.427	0.82	0.562	0.804	0.558
space	0.245	0.999	0.394	0.999	0.394
avg	0.349	0.85	0.488	0.877	0.493
					
Program	MRed	RGen	MF		
flex-2.5.4	0.657	0.011	0.022		
grep-2.4.2	0.622	0.188	0.289		
gzip-1.3	0.623	0.688	0.654		
sed-4.1.5	0.626	0.002	0.004		
space	0.302	0.988	0.463		
avg	0.57	0.38	0.29		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.436	0.011	0.021		
grep-2.4.2	0.319	0.188	0.237		
gzip-1.3	0.322	0.688	0.439		
sed-4.1.5	0.427	0.002	0.004		
space	0.245	0.988	0.393		
avg	0.35	0.38	0.22

p0.3train					
Program	MRed	RelCGen	RelMF	AllCGen	AllMF
flex-2.5.4	0.639	0.972	0.771	0.904	0.749
grep-2.4.2	0.606	0.884	0.719	0.853	0.709
gzip-1.3	0.614	0.551	0.581	0.873	0.721
sed-4.1.5	0.621	0.914	0.74	0.891	0.732
space	0.302	0.999	0.464	0.999	0.464
avg	0.556	0.864	0.655	0.904	0.675
					
Program	ARed	RelCGen	RelAF	AllCGen	AllAF
flex-2.5.4	0.412	0.972	0.579	0.904	0.566
grep-2.4.2	0.291	0.884	0.438	0.853	0.434
gzip-1.3	0.314	0.551	0.4	0.873	0.462
sed-4.1.5	0.408	0.914	0.564	0.891	0.559
space	0.239	0.999	0.386	0.999	0.386
avg	0.332	0.864	0.473	0.904	0.481
					
Program	MRed	RGen	MF		
flex-2.5.4	0.639	0.011	0.022		
grep-2.4.2	0.606	0.227	0.33		
gzip-1.3	0.614	0.688	0.649		
sed-4.1.5	0.621	0.939	0.748		
space	0.302	0.988	0.463		
avg	0.56	0.57	0.44		
					
Program	ARed	RGen	AF		
flex-2.5.4	0.412	0.011	0.021		
grep-2.4.2	0.291	0.227	0.255		
gzip-1.3	0.314	0.688	0.431		
sed-4.1.5	0.408	0.939	0.569		
space	0.239	0.988	0.385		
avg	0.33	0.57	0.33		
