Program	Rgen	Sred	Mred	Ared	SF	MF	AF
bzip2-1.0.5	0.796	-	0.473	0.271	-	0.593	0.404
chown-8.2	0.007	-	0.753	0.574	-	0.014	0.014
date-8.21	0.008	-	0.717	0.488	-	0.016	0.016
grep-2.19	0.995	-	0.469	0.426	-	0.638	0.597
gzip-1.2.4	0	-	0.574	0.394	-	0	0
mkdir-5.2.1	0.845	-	0.795	0.489	-	0.819	0.619
rm-8.4	0	-	0.755	0.504	-	0	0
sort-8.16	0	-	0.824	0.615	-	0	0
tar-1.14	0.025	-	0.844	0.7	-	0.049	0.048
uniq-8.16	0.002	-	0.829	0.669	-	0.004	0.004
flex-2.5.4	0.011	-	0.691	0.455	-	0.022	0.021
grep-2.4.2	0.194	-	0.61	0.382	-	0.294	0.257
gzip-1.3	0.982	-	0.742	0.466	-	0.845	0.632
sed-4.1.5	1	-	0.27	0.165	-	0.425	0.283
space	0.98	-	0.31	0.144	-	0.471	0.251
avg	0.39	-	0.644	0.449	-	0.486	0.417

PROGRAM	Rgen	Sred	Mred	Ared	SF	MF	AF
printtokens2	0.991	-	0.446	0.046	-	0.615	0.088
printtokens	0.999	-	0.404	0.065	-	0.575	0.122
replace	0.882	-	0.441	0.032	-	0.588	0.062
schedule2	0.356	-	0.509	0.191	-	0.419	0.249
schedule	0.92	-	0.493	0.102	-	0.642	0.184
tcas	0.99	-	0.572	0.17	-	0.725	0.29
totinfo	0.999	-	0.413	0.02	-	0.584	0.039
avg	0.88	-	0.468	0.089	-	0.611	0.162



