[2020-12-21 14:56:00.601] [Logger] [info] Input: blank_added_make_comb_reduced.c
[2020-12-21 14:56:00.601] [Logger] [info] Log Output Directory: /home/qxin6/debaug_expt/debaug/working/make/originals/make-3.79/tmp/instru_tmp/instru-out
[2020-12-21 14:56:02.992] [Logger] [info] Insrument File: blank_added_make_comb_reduced.c
[2020-12-21 14:56:05.524] [Logger] [info] Start instrumentation
[2020-12-21 14:56:05.554] [Logger] [info] Visit Function Decl: dcgettext
[2020-12-21 14:56:05.554] [Logger] [info] Visit Function Decl: free
[2020-12-21 14:56:05.555] [Logger] [info] Visit Function Decl: qsort
[2020-12-21 14:56:05.555] [Logger] [info] Visit Function Decl: memmove
[2020-12-21 14:56:05.556] [Logger] [info] Visit Function Decl: strchr
[2020-12-21 14:56:05.556] [Logger] [info] Visit Function Decl: strlen
[2020-12-21 14:56:05.556] [Logger] [info] Visit Function Decl: error
[2020-12-21 14:56:05.556] [Logger] [info] Visit Function Decl: fatal
[2020-12-21 14:56:05.557] [Logger] [info] Visit Function Decl: perror_with_name
[2020-12-21 14:56:05.557] [Logger] [info] Visit Function Decl: savestring
[2020-12-21 14:56:05.557] [Logger] [info] Visit Function Decl: concat
[2020-12-21 14:56:05.557] [Logger] [info] Visit Function Decl: xmalloc
[2020-12-21 14:56:05.557] [Logger] [info] Visit Function Decl: alpha_compare
[2020-12-21 14:56:05.557] [Logger] [info] Visit Function Decl: ar_name
[2020-12-21 14:56:05.558] [Logger] [info] Visit Function Decl: ar_parse_name
[2020-12-21 14:56:05.558] [Logger] [info] Visit Function Decl: ar_touch
[2020-12-21 14:56:05.558] [Logger] [info] Visit Function Decl: ar_member_date
[2020-12-21 14:56:05.558] [Logger] [info] Visit Function Decl: file_exists_p
[2020-12-21 14:56:05.558] [Logger] [info] Visit Function Decl: lookup_file
[2020-12-21 14:56:05.558] [Logger] [info] Visit Function Decl: enter_file
[2020-12-21 14:56:05.559] [Logger] [info] Visit Function Decl: f_mtime
[2020-12-21 14:56:05.559] [Logger] [info] Visit Function Decl: ar_glob
[2020-12-21 14:56:05.559] [Logger] [info] Visit Function Decl: fnmatch
[2020-12-21 14:56:05.559] [Logger] [info] Visit Function Decl: ar_scan
[2020-12-21 14:56:05.559] [Logger] [info] Visit Function Decl: ar_name_equal
[2020-12-21 14:56:05.560] [Logger] [info] Visit Function Decl: ar_member_touch
[2020-12-21 14:56:05.564] [Logger] [info] Visit Function Decl: ar_name
[2020-12-21 14:56:05.568] [Logger] [info] Visit Function Decl: ar_parse_name
[2020-12-21 14:56:05.570] [Logger] [info] Visit Function Decl: ar_member_date_1
[2020-12-21 14:56:05.583] [Logger] [info] Visit Function Decl: ar_member_date
[2020-12-21 14:56:05.585] [Logger] [info] Visit Function Decl: ar_member_date_1
[2020-12-21 14:56:05.594] [Logger] [info] Visit Function Decl: ar_touch
[2020-12-21 14:56:05.598] [Logger] [info] Visit Function Decl: ar_glob_match
[2020-12-21 14:56:05.601] [Logger] [info] Visit Function Decl: glob_pattern_p
[2020-12-21 14:56:05.612] [Logger] [info] Visit Function Decl: ar_glob
[2020-12-21 14:56:05.614] [Logger] [info] Visit Function Decl: fstat
[2020-12-21 14:56:05.617] [Logger] [info] Visit Function Decl: sprintf
[2020-12-21 14:56:05.619] [Logger] [info] Visit Function Decl: sscanf
[2020-12-21 14:56:05.621] [Logger] [info] Visit Function Decl: __errno_location
[2020-12-21 14:56:05.623] [Logger] [info] Visit Function Decl: lseek
[2020-12-21 14:56:05.625] [Logger] [info] Visit Function Decl: close
[2020-12-21 14:56:05.628] [Logger] [info] Visit Function Decl: read
[2020-12-21 14:56:05.629] [Logger] [info] Visit Function Decl: write
[2020-12-21 14:56:05.632] [Logger] [info] Visit Function Decl: atoi
[2020-12-21 14:56:05.634] [Logger] [info] Visit Function Decl: atol
[2020-12-21 14:56:05.637] [Logger] [info] Visit Function Decl: memcmp
[2020-12-21 14:56:05.639] [Logger] [info] Visit Function Decl: strcmp
[2020-12-21 14:56:05.647] [Logger] [info] Visit Function Decl: strncmp
[2020-12-21 14:56:05.763] [Logger] [info] Visit Function Decl: strrchr
[2020-12-21 14:56:05.765] [Logger] [info] Visit Function Decl: open
[2020-12-21 14:56:05.794] [Logger] [info] Visit Function Decl: ar_scan
[2020-12-21 14:56:05.799] [Logger] [info] Visit Function Decl: ar_name_equal
[2020-12-21 14:56:05.802] [Logger] [info] Visit Function Decl: ar_member_pos
[2020-12-21 14:56:05.813] [Logger] [info] Visit Function Decl: ar_member_touch
[2020-12-21 14:56:05.816] [Logger] [info] Visit Function Decl: stat
[2020-12-21 14:56:05.829] [Logger] [info] Visit Function Decl: signal
[2020-12-21 14:56:05.831] [Logger] [info] Visit Function Decl: kill
[2020-12-21 14:56:05.840] [Logger] [info] Visit Function Decl: printf
[2020-12-21 14:56:05.842] [Logger] [info] Visit Function Decl: fputs
[2020-12-21 14:56:05.844] [Logger] [info] Visit Function Decl: puts
[2020-12-21 14:56:05.847] [Logger] [info] Visit Function Decl: __ctype_b_loc
[2020-12-21 14:56:05.849] [Logger] [info] Visit Function Decl: getpid
[2020-12-21 14:56:05.851] [Logger] [info] Visit Function Decl: unlink
[2020-12-21 14:56:05.854] [Logger] [info] Visit Function Decl: exit
[2020-12-21 14:56:05.856] [Logger] [info] Visit Function Decl: pfatal_with_name
[2020-12-21 14:56:05.864] [Logger] [info] Visit Function Decl: xrealloc
[2020-12-21 14:56:05.866] [Logger] [info] Visit Function Decl: sindex
[2020-12-21 14:56:05.876] [Logger] [info] Visit Function Decl: uniquize_deps
[2020-12-21 14:56:05.881] [Logger] [info] Visit Function Decl: remove_intermediates
[2020-12-21 14:56:05.884] [Logger] [info] Visit Function Decl: set_command_state
[2020-12-21 14:56:05.886] [Logger] [info] Visit Function Decl: notice_finished_file
[2020-12-21 14:56:05.889] [Logger] [info] Visit Function Decl: initialize_file_variables
[2020-12-21 14:56:05.891] [Logger] [info] Visit Function Decl: define_variable_in_set
[2020-12-21 14:56:05.896] [Logger] [info] Visit Function Decl: new_job
[2020-12-21 14:56:05.898] [Logger] [info] Visit Function Decl: reap_children
[2020-12-21 14:56:05.902] [Logger] [info] Visit Function Decl: execute_file_commands
[2020-12-21 14:56:05.905] [Logger] [info] Visit Function Decl: print_commands
[2020-12-21 14:56:05.907] [Logger] [info] Visit Function Decl: delete_child_targets
[2020-12-21 14:56:05.909] [Logger] [info] Visit Function Decl: chop_commands
[2020-12-21 14:56:05.912] [Logger] [info] Visit Function Decl: remote_kill
[2020-12-21 14:56:05.959] [Logger] [info] Visit Function Decl: set_file_variables
[2020-12-21 14:56:05.978] [Logger] [info] Visit Function Decl: chop_commands
[2020-12-21 14:56:05.984] [Logger] [info] Visit Function Decl: execute_file_commands
[2020-12-21 14:56:05.996] [Logger] [info] Visit Function Decl: fatal_error_signal
[2020-12-21 14:56:06.016] [Logger] [info] Visit Function Decl: delete_target
[2020-12-21 14:56:06.020] [Logger] [info] Visit Function Decl: delete_child_targets
[2020-12-21 14:56:06.028] [Logger] [info] Visit Function Decl: print_commands
[2020-12-21 14:56:06.031] [Logger] [info] Visit Function Decl: memcpy
[2020-12-21 14:56:06.033] [Logger] [info] Visit Function Decl: memset
[2020-12-21 14:56:06.035] [Logger] [info] Visit Function Decl: xstrdup
[2020-12-21 14:56:06.039] [Logger] [info] Visit Function Decl: dir_file_exists_p
[2020-12-21 14:56:06.041] [Logger] [info] Visit Function Decl: file_impossible_p
[2020-12-21 14:56:06.043] [Logger] [info] Visit Function Decl: file_impossible
[2020-12-21 14:56:06.046] [Logger] [info] Visit Function Decl: dir_name
[2020-12-21 14:56:06.048] [Logger] [info] Visit Function Decl: opendir
[2020-12-21 14:56:06.051] [Logger] [info] Visit Function Decl: closedir
[2020-12-21 14:56:06.054] [Logger] [info] Visit Function Decl: readdir
[2020-12-21 14:56:06.063] [Logger] [info] Visit Function Decl: dir_contents_file_exists_p
[2020-12-21 14:56:06.066] [Logger] [info] Visit Function Decl: find_directory
[2020-12-21 14:56:06.085] [Logger] [info] Visit Function Decl: find_directory
[2020-12-21 14:56:06.102] [Logger] [info] Visit Function Decl: dir_contents_file_exists_p
[2020-12-21 14:56:06.105] [Logger] [info] Visit Function Decl: dir_file_exists_p
[2020-12-21 14:56:06.113] [Logger] [info] Visit Function Decl: file_exists_p
[2020-12-21 14:56:06.126] [Logger] [info] Visit Function Decl: file_impossible
[2020-12-21 14:56:06.139] [Logger] [info] Visit Function Decl: file_impossible_p
[2020-12-21 14:56:06.142] [Logger] [info] Visit Function Decl: dir_name
[2020-12-21 14:56:06.164] [Logger] [info] Visit Function Decl: print_dir_data_base
[2020-12-21 14:56:06.167] [Logger] [info] Visit Function Decl: open_dirstream
[2020-12-21 14:56:06.170] [Logger] [info] Visit Function Decl: read_dirstream
[2020-12-21 14:56:06.177] [Logger] [info] Visit Function Decl: open_dirstream
[2020-12-21 14:56:06.194] [Logger] [info] Visit Function Decl: read_dirstream
[2020-12-21 14:56:06.196] [Logger] [info] Visit Function Decl: ansi_free
[2020-12-21 14:56:06.201] [Logger] [info] Visit Function Decl: dir_setup_glob
[2020-12-21 14:56:06.203] [Logger] [info] Visit Function Decl: __assert_fail
[2020-12-21 14:56:06.207] [Logger] [info] Visit Function Decl: strcpy
[2020-12-21 14:56:06.209] [Logger] [info] Visit Function Decl: lindex
[2020-12-21 14:56:06.211] [Logger] [info] Visit Function Decl: find_percent
[2020-12-21 14:56:06.226] [Logger] [info] Visit Function Decl: variable_buffer_output
[2020-12-21 14:56:06.228] [Logger] [info] Visit Function Decl: variable_expand
[2020-12-21 14:56:06.231] [Logger] [info] Visit Function Decl: allocated_variable_expand_for_file
[2020-12-21 14:56:06.233] [Logger] [info] Visit Function Decl: expand_argument
[2020-12-21 14:56:06.236] [Logger] [info] Visit Function Decl: variable_expand_string
[2020-12-21 14:56:06.239] [Logger] [info] Visit Function Decl: handle_function
[2020-12-21 14:56:06.242] [Logger] [info] Visit Function Decl: subst_expand
[2020-12-21 14:56:06.245] [Logger] [info] Visit Function Decl: patsubst_expand
[2020-12-21 14:56:06.248] [Logger] [info] Visit Function Decl: recursively_expand
[2020-12-21 14:56:06.252] [Logger] [info] Visit Function Decl: lookup_variable
[2020-12-21 14:56:06.261] [Logger] [info] Visit Function Decl: variable_buffer_output
[2020-12-21 14:56:06.266] [Logger] [info] Visit Function Decl: initialize_variable_output
[2020-12-21 14:56:06.269] [Logger] [info] Visit Function Decl: allocated_variable_append
